iter	Logloss
0	0.6901096675
1	0.6867385237
2	0.6832012776
3	0.680340773
4	0.6773616282
5	0.6744330735
6	0.6716398565
7	0.6690763687
8	0.6661880845
9	0.6637289488
10	0.6608090679
11	0.6579594376
12	0.6553942663
13	0.6531503818
14	0.6509544309
15	0.648570579
16	0.6463139132
17	0.6439038735
18	0.6415102877
19	0.6392749476
20	0.6371928229
21	0.6353006007
22	0.6331388971
23	0.63100897
24	0.6289248358
25	0.6271989803
26	0.6254456413
27	0.6235057621
28	0.621864458
29	0.6201243696
30	0.6184893054
31	0.6168080827
32	0.6148172523
33	0.6133597674
34	0.611949135
35	0.6105686937
36	0.6091179484
37	0.6073933728
38	0.605842125
39	0.6045233251
40	0.6031023785
41	0.6016687068
42	0.6002246472
43	0.598880087
44	0.5974707992
45	0.5962023564
46	0.5950201711
47	0.5936020913
48	0.592459362
49	0.591364599
50	0.5901441358
51	0.5890661059
52	0.5878899541
53	0.5868892542
54	0.5857714973
55	0.5846796164
56	0.5836471856
57	0.5825850001
58	0.5815781138
59	0.5807685413
60	0.5797719511
61	0.5789939869
62	0.5782011523
63	0.5772833052
64	0.5765108818
65	0.5758007678
66	0.5749352965
67	0.5742555677
68	0.5733801999
69	0.5727296635
70	0.5720929311
71	0.5712675951
72	0.5705108539
73	0.5697050717
74	0.5691221596
75	0.568441496
76	0.5678833665
77	0.5671075559
78	0.5665596366
79	0.5658911085
80	0.565320823
81	0.5646426124
82	0.5639231926
83	0.5631808984
84	0.5624953804
85	0.5619781847
86	0.5614351111
87	0.5606993708
88	0.5601125297
89	0.5595462011
90	0.5589922047
91	0.5585921791
92	0.5580361209
93	0.5576531835
94	0.5570656802
95	0.5564558093
96	0.5559104624
97	0.555266076
98	0.5547653357
99	0.5542219899
100	0.5538946975
101	0.5534136579
102	0.5530576089
103	0.5527361182
104	0.5522379875
105	0.5518592407
106	0.5513292218
107	0.5508699807
108	0.5504043491
109	0.5500405632
110	0.549631896
111	0.5492880754
112	0.548830191
113	0.5485840925
114	0.5482036601
115	0.5478125696
116	0.5474872028
117	0.5471802899
118	0.5469464692
119	0.5466923994
120	0.5462637235
121	0.5459372397
122	0.5454516563
123	0.5451980701
124	0.544833092
125	0.5446141867
126	0.5442785513
127	0.5439784209
128	0.5437887349
129	0.5436155689
130	0.543401064
131	0.5431453287
132	0.5427893501
133	0.5425257895
134	0.542230249
135	0.5419449262
136	0.5416995486
137	0.54145902
138	0.5411674615
139	0.5409076881
140	0.5405462241
141	0.5404003272
142	0.5401392402
143	0.5398714646
144	0.5396430866
145	0.5394439597
146	0.5392336664
147	0.5389716376
148	0.5387137484
149	0.5384674632
150	0.5382137673
151	0.537983333
152	0.5378795201
153	0.5375705004
154	0.5374093676
155	0.5372810241
156	0.5371243567
157	0.5369900729
158	0.5367658237
159	0.5366156481
160	0.5364480142
161	0.5363626901
162	0.5362758315
163	0.5361880347
164	0.5359225615
165	0.5357192961
166	0.5354697522
167	0.5352598354
168	0.5350193865
169	0.5349466531
170	0.5347667669
171	0.5346067791
172	0.5344684435
173	0.5342515807
174	0.534108873
175	0.533887004
176	0.533682212
177	0.5335046205
178	0.5333630742
179	0.5332794838
180	0.5330764164
181	0.5329739331
182	0.5328408465
183	0.5327216057
184	0.5326096555
185	0.532470405
186	0.5323781236
187	0.5321904877
188	0.5319944244
189	0.5318372842
190	0.5316627669
191	0.5314266581
192	0.5313180158
193	0.5312762715
194	0.5311891123
195	0.5311112314
196	0.5310154512
197	0.5309217666
198	0.530776206
199	0.530699737
200	0.5305330724
201	0.5303348077
202	0.5302142642
203	0.5301141565
204	0.5300464954
205	0.5299350721
206	0.529842865
207	0.5297125956
208	0.5296120786
209	0.5294800942
210	0.5293553932
211	0.5292833021
212	0.5291475165
213	0.5290712089
214	0.5289536442
215	0.5289049805
216	0.5288406191
217	0.5287988589
218	0.5286898722
219	0.5286501459
220	0.5285796862
221	0.5285030826
222	0.5283920545
223	0.5282568058
224	0.5281335915
225	0.5280220293
226	0.5278753877
227	0.5277100748
228	0.527600395
229	0.5274928735
230	0.5274501858
231	0.5273041477
232	0.5272205448
233	0.5270572799
234	0.5269452288
235	0.5268467142
236	0.5266979825
237	0.5266438165
238	0.5265061195
239	0.5264277422
240	0.526335276
241	0.5262399708
242	0.5262261517
243	0.5262126143
244	0.5261051109
245	0.5259735512
246	0.5258930916
247	0.5258185812
248	0.5256514593
249	0.5255979774
250	0.5255343711
251	0.5254477956
252	0.525367845
253	0.5253389162
254	0.5253283829
255	0.5251699068
256	0.525073417
257	0.5249993536
258	0.5249377924
259	0.5249077734
260	0.5248403118
261	0.5247472442
262	0.5246569056
263	0.5244773354
264	0.5244118379
265	0.5244001705
266	0.524363692
267	0.5242940656
268	0.5242614277
269	0.5242364937
270	0.5241838724
271	0.5241170807
272	0.524058322
273	0.5239085182
274	0.5238780899
275	0.5238013852
276	0.5237321816
277	0.5236742221
278	0.5236303616
279	0.5235676146
280	0.5235002503
281	0.5233817767
282	0.5233242707
283	0.5232168356
284	0.5231196968
285	0.5230326063
286	0.5229558679
287	0.5228890994
288	0.5228843098
289	0.5227947924
290	0.5227857623
291	0.5227274985
292	0.5225991787
293	0.5225670511
294	0.5224937597
295	0.5224157014
296	0.5223499551
297	0.5222956183
298	0.5222364256
299	0.5221683432
300	0.5221325529
301	0.5221012717
302	0.522026671
303	0.5219547949
304	0.5219515186
305	0.521867428
306	0.5218332873
307	0.5217718571
308	0.5217256503
309	0.5216698423
310	0.5215934055
311	0.5215183352
312	0.5214026686
313	0.5213686218
314	0.5213177757
315	0.5211954719
316	0.5210799815
317	0.5209652916
318	0.5209403721
319	0.5208899813
320	0.5208833166
321	0.5208316603
322	0.52082221
323	0.5207254794
324	0.5206986525
325	0.5206401166
326	0.5205840812
327	0.5205363374
328	0.520503341
329	0.5204551695
330	0.5203989804
331	0.5203207793
332	0.5202896089
333	0.5202268412
334	0.5201783412
335	0.5201480051
336	0.5201358638
337	0.5201079638
338	0.5200586165
339	0.5200270667
340	0.5199776982
341	0.5199253291
342	0.5198879977
343	0.5198353428
344	0.5197766569
345	0.519752318
346	0.5196967953
347	0.5196585331
348	0.5196574163
349	0.5196131049
350	0.5195587939
351	0.5195207052
352	0.5194701201
353	0.5194691291
354	0.5194010759
355	0.5193682211
356	0.5193085011
357	0.5192655008
358	0.5191996327
359	0.519095695
360	0.5190515855
361	0.5190208901
362	0.5189671372
363	0.5189240375
364	0.5188749262
365	0.5188213592
366	0.5188026498
367	0.5187572847
368	0.5187272743
369	0.5186865344
370	0.5186436363
371	0.5185726831
372	0.5185518968
373	0.5184855655
374	0.518484994
375	0.518437806
376	0.51842193
377	0.5183860597
378	0.5183160095
379	0.5182729355
380	0.5182097804
381	0.5181390523
382	0.5180826171
383	0.5180764422
384	0.5180353821
385	0.5180147707
386	0.517948517
387	0.5179000611
388	0.5178778125
389	0.5178677021
390	0.5178324067
391	0.5178117651
392	0.5177883122
393	0.5177608447
394	0.5177443065
395	0.5177242191
396	0.5176774791
397	0.5176771627
398	0.5175982887
399	0.5175643833
400	0.5175206055
401	0.5174760168
402	0.5174462298
403	0.5173524162
404	0.5172982085
405	0.5172861296
406	0.5172551962
407	0.5172421423
408	0.5171955953
409	0.5171503925
410	0.5171355003
411	0.5170551719
412	0.5170198707
413	0.5169810949
414	0.5169085782
415	0.5169079371
416	0.5169005156
417	0.5168674593
418	0.5168466655
419	0.5167771946
420	0.5167470194
421	0.5167327612
422	0.5166622864
423	0.516649686
424	0.5166132536
425	0.5165691336
426	0.5165251578
427	0.5165080882
428	0.5164677975
429	0.5164260988
430	0.516395437
431	0.5163817986
432	0.5163313842
433	0.5163087459
434	0.5162781398
435	0.5162348987
436	0.5162147611
437	0.5161561047
438	0.5160618721
439	0.5160460651
440	0.5160177126
441	0.5160113727
442	0.5159730382
443	0.5159729598
444	0.5159566446
445	0.5159565698
446	0.5159564965
447	0.51592755
448	0.5159210246
449	0.5159017757
450	0.5158730858
451	0.5158322289
452	0.5157965044
453	0.5157771307
454	0.5157445888
455	0.515707362
456	0.5156210993
457	0.5155974457
458	0.5155872883
459	0.5155204971
460	0.5155076734
461	0.515446699
462	0.5154134352
463	0.5154018042
464	0.5153708392
465	0.5153534001
466	0.5153036794
467	0.5152781089
468	0.5152224686
469	0.5151736883
470	0.5151422156
471	0.5151239451
472	0.5150699282
473	0.5150538436
474	0.515007972
475	0.5149533692
476	0.5149435448
477	0.5149366932
478	0.5149294593
479	0.5149156142
480	0.5148672051
481	0.514821865
482	0.5147888168
483	0.5147443147
484	0.5146939294
485	0.514693913
486	0.5146675545
487	0.5146281218
488	0.5146088649
489	0.514554118
490	0.5145046769
491	0.5144458623
492	0.5144037926
493	0.5143802712
494	0.514374593
495	0.5143425511
496	0.5142901922
497	0.5142586781
498	0.5142440586
499	0.5141690334
500	0.5141209124
501	0.5141058485
502	0.5141053222
503	0.5140618111
504	0.5140129694
505	0.5140129668
506	0.5140129618
507	0.5140077206
508	0.5139571732
509	0.5139508516
510	0.5139300187
511	0.5139008315
512	0.5138326055
513	0.5138299135
514	0.5137896553
515	0.5137605733
516	0.5137356257
517	0.5137300567
518	0.5137208827
519	0.5137011613
520	0.5136621304
521	0.5136597856
522	0.5136040992
523	0.5135725718
524	0.5135520209
525	0.5135315219
526	0.5135247084
527	0.5135001831
528	0.5134958254
529	0.5134790188
530	0.5134637778
531	0.5133805839
532	0.5133626064
533	0.5133406524
534	0.5133339391
535	0.5133195349
536	0.5132990519
537	0.5132782225
538	0.51327601
539	0.5132700325
540	0.5132553952
541	0.5132339321
542	0.5132210688
543	0.5132079291
544	0.5131962437
545	0.5131962434
546	0.5131868793
547	0.5131818442
548	0.5131588196
549	0.5131295878
550	0.5131098453
551	0.5130932274
552	0.513067199
553	0.5130594921
554	0.5130368129
555	0.5130190369
556	0.5129979522
557	0.5129682812
558	0.512953416
559	0.5129312982
560	0.5128885037
561	0.5128384658
562	0.5128121737
563	0.5127931888
564	0.5127878662
565	0.5127669407
566	0.5127258783
567	0.5127071459
568	0.5127044843
569	0.5126990581
570	0.5126602379
571	0.5126602378
572	0.5126549017
573	0.5126446945
574	0.5126446944
575	0.5126295402
576	0.5126140981
577	0.5126094621
578	0.5125981423
579	0.5125485175
580	0.5125426802
581	0.5124776719
582	0.512443997
583	0.5124186589
584	0.5123884548
585	0.5123872595
586	0.5123841311
587	0.5123578439
588	0.5123140372
589	0.5122946688
590	0.5122755537
591	0.5122604729
592	0.5122463128
593	0.5122212742
594	0.5122027538
595	0.5121468968
596	0.5121083365
597	0.5120792521
598	0.5120631985
599	0.5120421047
600	0.5120369251
601	0.5120302542
602	0.512030253
603	0.5120253361
604	0.51201479
605	0.5119826453
606	0.5119693571
607	0.5119500485
608	0.5119177936
609	0.5119051985
610	0.511886205
611	0.5118763924
612	0.5118595175
613	0.5118390199
614	0.5118090564
615	0.5117905152
616	0.5117748661
617	0.5117473772
618	0.5117244579
619	0.5116978388
620	0.5116726754
621	0.511672267
622	0.5116661136
623	0.5116607279
624	0.5116109492
625	0.5115750654
626	0.5115474702
627	0.5115312097
628	0.5115079374
629	0.511494498
630	0.5114794699
631	0.5114360651
632	0.5114134009
633	0.5113933994
634	0.5113933985
635	0.5113810522
636	0.5113572566
637	0.5113551356
638	0.5113444589
639	0.511321417
640	0.5113098428
641	0.5112988994
642	0.5112825854
643	0.5112533312
644	0.5112288609
645	0.5111965244
646	0.5111861747
647	0.5111590097
648	0.5111327622
649	0.5111213839
650	0.5111005206
651	0.5110898078
652	0.5110585478
653	0.5110531431
654	0.5110411435
655	0.5110393917
656	0.5110147359
657	0.5110016643
658	0.510974781
659	0.5109636136
660	0.5109462066
661	0.5109462064
662	0.5108940133
663	0.5108714424
664	0.5108581571
665	0.5108581552
666	0.5108000379
667	0.5107615535
668	0.5107579462
669	0.5107457573
670	0.5107392289
671	0.5107220319
672	0.5106954847
673	0.5106893215
674	0.5106809834
675	0.510678125
676	0.5106714713
677	0.5106609001
678	0.5106420961
679	0.5106305579
680	0.5106117502
681	0.5105857169
682	0.5105494824
683	0.510539115
684	0.5105220577
685	0.5104937434
686	0.5104679832
687	0.5104679081
688	0.5104676621
689	0.5104522649
690	0.5104251866
691	0.5104095044
692	0.5103951569
693	0.5103946486
694	0.5103730152
695	0.5103712391
696	0.5103571402
697	0.5103222118
698	0.5102983702
699	0.5102752729
700	0.5102723867
701	0.5102685861
702	0.510268586
703	0.5102361625
704	0.5102297734
705	0.5102118302
706	0.5102007909
707	0.5101741196
708	0.5101643059
709	0.5101497007
